,Id,Last Update,Total Videos,GMV,F_Score,M_Score,R_Score,RFM,RFM Segment,K_means Clusters,DB Clusters,DB_Segmentation
216,C217,1,40,210631.0396127419,2,1,1,121,P Creators,3,-1,1
217,C218,1,10,165000.0180664061,3,1,1,131,Others,3,-1,1
218,C219,5,50,1683.0000122934566,2,3,3,323,Others,0,0,2
219,C220,1,110,4805.99995504878,1,2,1,112,P Creators,0,0,2
220,C221,1,313,88177.9987239519,1,1,1,111,B Creator,0,-1,1
221,C222,1,2499,1322365.5785260685,1,1,1,111,B Creator,0,-1,1
222,C223,1,1095,262339.99752587214,1,1,1,111,B Creator,0,-1,1
223,C224,1,344,51990.99936191357,1,1,1,111,B Creator,0,-1,1
224,C225,1,564,5054.01005112006,1,2,1,112,P Creators,0,-1,1
225,C226,1,3,6.029999859631049,4,4,1,144,Others,0,0,2
226,C227,1,15,21303.0101143661,3,2,1,132,Others,0,0,2
227,C228,3,5,11497.00002286016,4,2,2,242,Others,0,2,3
228,C229,1,3,6.02999985963106,4,4,1,144,Others,0,0,2
229,C230,1,17,34.169999204575944,3,4,1,134,Others,0,0,2
230,C231,2,3,1240.0000300407314,4,3,1,143,Others,0,1,3
231,C232,1,5,157.00999813713125,4,3,1,143,Others,0,0,2
232,C233,1,83,8362.999922219657,2,2,1,122,P Creators,0,0,2
233,C234,1,48,8142.000098803993,2,2,1,122,P Creators,0,0,2
